Матеріал,від 1 м.кв.,При об'ємі друку в місяць > 1000 грн,При об'ємі друку в місяць > 5000 грн,одноразове замовлення    > 5000 грн
Банерна тканина «Frontlit» лита,141,106,89,80
Банерна тканина «Frontlit» ламінована,108,78,68,60
Сітка банерна,150,108,95,83
Самоклеюча плівка Ritrama,150,108,95,83
Самоклеюча плівка Китайська,103,75,65,55
Самоклеюча плівка «One Way Vision»,222,160,140,123
Самоклеюча плівка непросвітна «Blаckout»,186,135,118,103
Банерна тканина просвітна «Backlit»,207,149,131,115
Папір Blueback,72,52,46,40
Просвітному папір «Backlit»,74,54,47,41
Папір для друку постерний,75,65,62,62
