Матеріал,від 1 м.кв.,При об'ємі друку в місяць > 1000 грн,При об'ємі друку в місяць > 5000 грн,одноразове замовлення    > 5000 грн
Банерна тканина «Frontlit» лита,187,138,121,105
Банерна тканина лита “Blackout”,287,212,186,165
Банерна тканина «Frontlit» ламінована,167,121,106,93
Сітка банерна,207,149,131,115
Самоклеюча плівка Ritrama,213,153,134,118
Самоклеюча плівка Китайська,160,115,101,90
Самоклеюча плівка «One Way Vision»,281,203,178,156
Самоклеюча плівка непросвітна «Blаckout»,243,176,154,135
Банерна тканина просвітна «Backlit»,266,192,168,147
Папір Blueback,114,82,72,63
Просвітному папір «Backlit»,131,95,83,73
Холст,515,371,325,285
Фотошпалери,355,255,224,197
